signal,sensitivity,specificity,fpr,pod,timeliness,contamination,threshold,val_sensitivity,val_specificity,window,n_neighbors
1,0.700983606557377,0.9791914569031274,0.0208085430968726,0.96,0.1811312736970631,0.05,-1.3035949009464711,0.6728971962616822,0.978446436192915,14,20
2,0.5248990578734859,0.96942515719522,0.0305748428047799,0.84,0.4847527472527471,0.04,-1.4012372910489237,0.5370121130551817,0.9710045594063832,21,30
3,0.8044382801664355,0.9717268245176212,0.0282731754823787,0.99,0.1773612637362637,0.06,-1.2862079657236305,0.7981388690050107,0.9713399993921528,14,20
4,0.5751479289940828,0.972022119264684,0.027977880735316,0.96,0.386826923076923,0.04,-1.2392551814809132,0.5887850467289719,0.9740461667264682,7,20
5,0.8009776536312849,0.9694839965924305,0.0305160034075696,0.99,0.1008095486454619,0.06,-1.8011174555872214,0.8022361984626135,0.9723143387386292,14,20
6,0.2023460410557184,0.976381700279612,0.0236182997203878,0.54,0.6893749681690857,0.03,-1.3859253721886269,0.2475106685633001,0.9745512992231448,21,30
7,0.9109396914446004,0.9773985520472106,0.0226014479527894,1.0,0.0762814253077411,0.06,-2.323844669432884,0.9107755662319836,0.9777425935511372,7,10
8,0.6210092687950567,0.969996099492934,0.0300039005070659,0.91,0.3523300162170129,0.045,-1.3954166765139846,0.5940996948118006,0.97118588108173,14,20
9,0.5659163987138264,0.9703899061947432,0.0296100938052566,0.92,0.3579172195193865,0.045,-1.4090704530830016,0.5870488322717622,0.9702919839318904,14,20
10,0.6890894175553732,0.9753332728756688,0.0246667271243311,0.95,0.2449997542876798,0.05,-1.4066214355899334,0.7337087691069992,0.9757086244970808,14,20
11,0.2078125,0.9729055258467024,0.0270944741532976,0.58,0.7185050505050506,0.03,-1.3689380963967146,0.2119309262166405,0.9734426521700384,14,20
12,0.8500842223469961,0.9722008671853378,0.0277991328146621,1.0,0.0476955190955191,0.07,-11.731055416672634,0.8453257790368272,0.972060857538036,14,20
13,0.8351791530944626,0.9764993132916222,0.0235006867083778,1.0,0.1129200779727095,0.06,-1.5277994197565463,0.839458413926499,0.9769153256587988,14,20
14,0.8975069252077562,0.9786254026552668,0.0213745973447331,1.0,0.0898115634365634,0.05,-1.8316491745201413,0.8938547486033519,0.9772768313970986,7,20
15,0.3163516844700082,0.971949339539945,0.028050660460055,0.71,0.4877655677655677,0.04,-1.2325192781191117,0.3659673659673659,0.9727077212007392,14,20
16,0.5189873417721519,0.9764713090897952,0.0235286909102049,0.9,0.2659904274575326,0.05,-1.2588316829674673,0.5566207309766327,0.9759124758665072,14,20
