signal,sensitivity,specificity,fpr,pod,timeliness,contamination,threshold,val_sensitivity,val_specificity,window,gamma,nu
1,0.5534426229508197,0.9716857360793288,0.0283142639206712,0.96,0.1552490735385471,0.05,0.931088759719273,0.514018691588785,0.971190781049936,14,scale,0.03
2,0.746971736204576,0.97449116428763,0.0255088357123699,0.95,0.2206703296703296,0.045,-25.026411026835227,0.7779273216689099,0.9712131596984236,7,scale,0.05
3,0.5325936199722607,0.9712398806987644,0.0287601193012356,0.99,0.14085989010989,0.05,1.2062558163715016,0.5382963493199714,0.9707321520833968,7,scale,0.03
4,0.7609467455621302,0.973486773277537,0.026513226722463,0.98,0.2260576923076922,0.045,-4.28614597721083,0.7698598130841121,0.9735378543236456,7,scale,0.03
5,0.4162011173184357,0.971613727637824,0.0283862723621759,0.89,0.242261643712882,0.045,-1.4583072221597189,0.440251572327044,0.9721926435242934,14,scale,0.03
6,0.2580645161290322,0.972009042774704,0.0279909572252959,0.56,0.6371802478567185,0.035,-10.121808353253792,0.3328591749644381,0.9712176682441884,7,scale,0.05
7,0.9004207573632539,0.9778244205146924,0.0221755794853075,1.0,0.1007551095182674,0.06,-58.658369756938704,0.9039121482498284,0.977438114666748,14,scale,0.05
8,0.6632337796086509,0.970866212607639,0.029133787392361,0.94,0.2966812619784755,0.045,-4.309032404665808,0.62970498474059,0.9722363958339586,14,scale,0.03
9,0.6420150053590568,0.973476788443672,0.0265232115563281,0.98,0.2572745589463854,0.045,-5.417993546001023,0.6772823779193206,0.9728400983272378,14,scale,0.03
10,0.5094339622641509,0.9746682385659442,0.0253317614340558,0.97,0.2510252960833455,0.045,-0.1356480279681299,0.5438455349959774,0.9737423238648396,14,scale,0.03
11,0.515625,0.9708259061200236,0.0291740938799762,0.91,0.4125404040404042,0.035,-30.486421414803505,0.5180533751962323,0.9741258948994443,14,scale,0.05
12,0.8399775407074677,0.9710015683139088,0.0289984316860912,1.0,0.0476955190955191,0.07,-11.980597270348945,0.8362606232294617,0.9715690794528968,14,scale,0.03
13,0.8618892508143322,0.978513657866626,0.021486342133374,1.0,0.0923304093567251,0.06,-108.99322783661778,0.8704061895551257,0.978381019267764,14,scale,0.05
14,0.9298245614035088,0.978836138122046,0.021163861877954,1.0,0.0598981018981018,0.05,-104.27449066749249,0.9199255121042832,0.9781195449346896,7,scale,0.05
15,0.1577649958915365,0.969017320073754,0.0309826799262461,0.46,0.6549142755392755,0.035,0.0109085210361782,0.1996891996891996,0.9714052040105412,7,scale,0.03
16,0.5069318866787221,0.9765019454060844,0.0234980545939156,0.92,0.2263240392648287,0.05,-0.7958119224586752,0.5260635110844817,0.9743495449112808,14,scale,0.03
